,Date,Price,Open,High,Low,Vol
1400,"Jan 16, 2014",11.50,11.70,11.75,11.40,9.56M
1401,"Jan 15, 2014",11.70,11.70,11.75,11.35,8.77M
1402,"Jan 14, 2014",11.65,11.70,11.75,11.45,5.70M
1403,"Jan 13, 2014",11.65,11.60,11.75,11.35,19.46M
1404,"Jan 10, 2014",11.75,11.80,11.95,11.45,33.43M
1405,"Jan 09, 2014",11.70,11.60,11.95,11.55,24.76M
1406,"Jan 08, 2014",11.35,11.10,11.65,11.10,6.69M
1407,"Jan 07, 2014",11.10,11.00,11.15,11.00,5.57M
1408,"Jan 06, 2014",11.05,10.90,11.15,10.80,9.52M
1409,"Jan 03, 2014",10.80,10.80,10.95,10.75,2.71M
1410,"Jan 02, 2014",10.75,10.90,10.90,10.60,3.51M
1411,"Dec 31, 2013",10.85,10.95,10.95,10.80,2.46M
1412,"Dec 30, 2013",10.85,10.75,11.00,10.60,11.07M
1413,"Dec 27, 2013",10.75,10.55,10.90,10.55,7.55M
1414,"Dec 24, 2013",10.85,10.40,11.00,10.40,2.99M
1415,"Dec 23, 2013",10.25,10.15,10.50,10.10,2.64M
1416,"Dec 20, 2013",10.05,10.00,10.15,10.00,8.71M
1417,"Dec 19, 2013",10.00,10.00,10.10,9.95,16.59M
1418,"Dec 18, 2013",9.95,9.90,10.00,9.85,15.35M
1419,"Dec 17, 2013",9.85,9.90,10.00,9.70,22.46M
1420,"Dec 16, 2013",10.00,9.90,10.10,9.60,15.65M
1421,"Dec 11, 2013",10.05,10.20,10.20,9.90,26.98M
1422,"Dec 10, 2013",10.20,10.25,10.35,10.10,23.97M
1423,"Dec 09, 2013",10.35,10.30,10.40,10.25,12.76M
1424,"Dec 06, 2013",10.35,10.40,10.50,10.20,16.08M
1425,"Dec 05, 2013",10.35,10.70,10.70,10.00,24.09M
1426,"Dec 04, 2013",10.75,10.75,10.85,10.55,12.50M
1427,"Dec 03, 2013",10.80,10.95,11.00,10.75,9.11M
1428,"Dec 02, 2013",10.85,10.70,11.00,10.55,2.93M
